Country,Men,Women
Australia,8,7
Austria,205,75
Belarus,8,7
Belgium,12,1
Bulgaria,1,5
Canada,386,239
China,28,54
Croatia,5,6
Czech Republic,59,16
Czechoslovakia,149,9
Denmark,,5
East Germany,108,54
Estonia,4,3
Finland,328,106
France,97,55
Germany,203,157
Hungary,6,6
Italy,131,61
Japan,50,13
Kazakhstan,5,2
"Korea, North",,2
"Korea, South",42,45
Latvia,14,1
Liechtenstein,4,5
Luxembourg,2,
Netherlands,79,43
New Zealand,,1
Norway,359,98
Poland,13,14
Romania,2,
Russia,157,106
Slovakia,2,3
Slovenia,9,9
Soviet Union,331,109
Spain,1,1
Sweden,327,106
Switzerland,214,71
Ukraine,1,10
Unified Team,33,27
United Kingdom,58,21
United States,410,243
United Team of Germany,12,9
Uzbekistan,,1
West Germany,75,19
Yugoslavia,6,1
