Year,Country,Gender,MedalCount
1924,Austria,Men,2
1924,Austria,Women,2
1924,Belgium,Men,5
1924,Canada,Men,9
1924,Finland,Men,14
1924,Finland,Women,1
1924,France,Men,11
1924,France,Women,1
1924,Norway,Men,17
1924,Sweden,Men,9
1924,Switzerland,Men,9
1924,United Kingdom,Men,24
1924,United Kingdom,Women,1
1924,United States,Men,12
1924,United States,Women,1
1928,Austria,Men,3
1928,Austria,Women,3
1928,Belgium,Men,1
1928,Canada,Men,12
1928,Czechoslovakia,Men,1
1928,Finland,Men,4
1928,France,Men,1
1928,France,Women,1
1928,Germany,Men,5
1928,Norway,Men,14
1928,Norway,Women,1
1928,Sweden,Men,16
1928,Switzerland,Men,12
1928,United Kingdom,Men,1
1928,United States,Men,13
1928,United States,Women,1
1932,Austria,Men,1
1932,Austria,Women,1
1932,Canada,Men,20
1932,Finland,Men,3
1932,France,Men,1
1932,France,Women,1
1932,Germany,Men,21
1932,Hungary,Men,1
1932,Hungary,Women,1
1932,Norway,Men,9
1932,Norway,Women,1
1932,Sweden,Men,3
1932,Switzerland,Men,8
1932,United States,Men,43
1932,United States,Women,2
1936,Austria,Men,4
1936,Austria,Women,1
1936,Canada,Men,13
1936,Finland,Men,9
1936,France,Men,1
1936,Germany,Men,4
1936,Germany,Women,3
1936,Hungary,Men,1
1936,Hungary,Women,1
1936,Norway,Men,16
1936,Norway,Women,2
1936,Sweden,Men,9
1936,Sweden,Women,1
1936,Switzerland,Men,10
1936,United Kingdom,Men,16
1936,United Kingdom,Women,1
1936,United States,Men,16
1948,Austria,Men,2
1948,Austria,Women,6
1948,Belgium,Men,5
1948,Belgium,Women,1
1948,Canada,Men,18
1948,Canada,Women,2
1948,Czechoslovakia,Men,17
1948,Finland,Men,9
1948,France,Men,5
1948,Hungary,Men,1
1948,Hungary,Women,1
1948,Italy,Men,1
1948,Norway,Men,13
1948,Sweden,Men,13
1948,Switzerland,Men,26
1948,Switzerland,Women,2
1948,United Kingdom,Men,1
1948,United Kingdom,Women,1
1948,United States,Men,14
1948,United States,Women,2
1952,Austria,Men,6
1952,Austria,Women,2
1952,Canada,Men,17
1952,Finland,Men,9
1952,Finland,Women,3
1952,France,Women,1
1952,Hungary,Men,1
1952,Hungary,Women,1
1952,Italy,Men,1
1952,Italy,Women,1
1952,Netherlands,Men,3
1952,Norway,Men,19
1952,Sweden,Men,23
1952,Switzerland,Men,6
1952,United Kingdom,Women,1
1952,United States,Men,26
1952,United States,Women,4
1952,West Germany,Men,7
1952,West Germany,Women,5
1956,Austria,Men,7
1956,Austria,Women,5
1956,Canada,Men,18
1956,Canada,Women,2
1956,Finland,Men,9
1956,Finland,Women,3
1956,Hungary,Men,1
1956,Hungary,Women,1
1956,Italy,Men,8
1956,Japan,Men,1
1956,Norway,Men,4
1956,Poland,Men,1
1956,Soviet Union,Men,31
1956,Soviet Union,Women,6
1956,Sweden,Men,11
1956,Sweden,Women,4
1956,Switzerland,Men,7
1956,Switzerland,Women,3
1956,United States,Men,24
1956,United States,Women,2
1956,United Team of Germany,Men,1
1956,United Team of Germany,Women,1
1960,Austria,Men,5
1960,Austria,Women,1
1960,Canada,Men,19
1960,Canada,Women,2
1960,Czechoslovakia,Men,1
1960,Finland,Men,9
1960,Finland,Women,4
1960,France,Men,3
1960,Italy,Women,1
1960,Netherlands,Men,1
1960,Netherlands,Women,1
1960,Norway,Men,9
1960,Poland,Women,2
1960,Soviet Union,Men,30
1960,Soviet Union,Women,12
1960,Sweden,Men,6
1960,Sweden,Women,3
1960,Switzerland,Men,1
1960,Switzerland,Women,1
1960,United States,Men,20
1960,United States,Women,7
1960,United Team of Germany,Men,4
1960,United Team of Germany,Women,5
1964,Austria,Men,12
1964,Austria,Women,5
1964,Canada,Men,5
1964,Canada,Women,2
1964,Czechoslovakia,Men,17
1964,Finland,Men,9
1964,Finland,Women,6
1964,France,Men,3
1964,France,Women,4
1964,Italy,Men,10
1964,"Korea, North",Women,1
1964,Netherlands,Men,1
1964,Netherlands,Women,1
1964,Norway,Men,15
1964,Soviet Union,Men,28
1964,Soviet Union,Women,18
1964,Sweden,Men,25
1964,Sweden,Women,3
1964,United Kingdom,Men,2
1964,United States,Men,5
1964,United States,Women,3
1964,United Team of Germany,Men,7
1964,United Team of Germany,Women,3
1968,Austria,Men,13
1968,Austria,Women,2
1968,Canada,Men,18
1968,Canada,Women,2
1968,Czechoslovakia,Men,20
1968,Czechoslovakia,Women,1
1968,East Germany,Men,5
1968,East Germany,Women,1
1968,Finland,Men,6
1968,Finland,Women,2
1968,France,Men,5
1968,France,Women,4
1968,Italy,Men,7
1968,Italy,Women,1
1968,Netherlands,Men,4
1968,Netherlands,Women,5
1968,Norway,Men,17
1968,Norway,Women,5
1968,Romania,Men,2
1968,Soviet Union,Men,28
1968,Soviet Union,Women,9
1968,Sweden,Men,11
1968,Sweden,Women,5
1968,Switzerland,Men,8
1968,Switzerland,Women,1
1968,United States,Men,2
1968,United States,Women,5
1968,West Germany,Men,7
1968,West Germany,Women,3
1972,Austria,Men,1
1972,Austria,Women,4
1972,Canada,Women,1
1972,Czechoslovakia,Men,19
1972,Czechoslovakia,Women,1
1972,East Germany,Men,16
1972,East Germany,Women,4
1972,Finland,Men,5
1972,Finland,Women,5
1972,France,Men,1
1972,France,Women,2
1972,Italy,Men,9
1972,Japan,Men,3
1972,Netherlands,Men,4
1972,Netherlands,Women,5
1972,Norway,Men,14
1972,Norway,Women,3
1972,Poland,Men,1
1972,Soviet Union,Men,35
1972,Soviet Union,Women,10
1972,Spain,Men,1
1972,Sweden,Men,4
1972,Switzerland,Men,15
1972,Switzerland,Women,2
1972,United States,Men,18
1972,United States,Women,7
1972,West Germany,Men,9
1972,West Germany,Women,1
1976,Austria,Men,6
1976,Austria,Women,1
1976,Canada,Men,1
1976,Canada,Women,2
1976,Czechoslovakia,Men,18
1976,East Germany,Men,22
1976,East Germany,Women,10
1976,Finland,Men,10
1976,Finland,Women,6
1976,France,Women,1
1976,Italy,Men,3
1976,Italy,Women,1
1976,Liechtenstein,Men,1
1976,Liechtenstein,Women,1
1976,Netherlands,Men,5
1976,Netherlands,Women,1
