Year,Country,Sport,Gender,Medal_Count
1924,Austria,Skating,Men,2
1924,Austria,Skating,Women,2
1924,Belgium,Bobsleigh,Men,5
1924,Canada,Ice Hockey,Men,9
1924,Finland,Biathlon,Men,4
1924,Finland,Skating,Men,9
1924,Finland,Skating,Women,1
1924,Finland,Skiing,Men,1
1924,France,Biathlon,Men,4
1924,France,Curling,Men,6
1924,France,Skating,Men,1
1924,France,Skating,Women,1
1924,Norway,Skating,Men,7
1924,Norway,Skiing,Men,10
1924,Sweden,Curling,Men,8
1924,Sweden,Skating,Men,1
1924,Switzerland,Biathlon,Men,4
1924,Switzerland,Bobsleigh,Men,4
1924,Switzerland,Skating,Men,1
1924,United Kingdom,Bobsleigh,Men,4
1924,United Kingdom,Curling,Men,8
1924,United Kingdom,Ice Hockey,Men,12
1924,United Kingdom,Skating,Women,1
1924,United States,Ice Hockey,Men,10
1924,United States,Skating,Men,1
1924,United States,Skating,Women,1
1924,United States,Skiing,Men,1
1928,Austria,Skating,Men,3
1928,Austria,Skating,Women,3
1928,Belgium,Skating,Men,1
1928,Canada,Ice Hockey,Men,12
1928,Czechoslovakia,Skiing,Men,1
1928,Finland,Skating,Men,4
1928,France,Skating,Men,1
1928,France,Skating,Women,1
1928,Germany,Bobsleigh,Men,5
1928,Norway,Skating,Men,6
1928,Norway,Skating,Women,1
1928,Norway,Skiing,Men,8
1928,Sweden,Ice Hockey,Men,12
1928,Sweden,Skating,Men,1
1928,Sweden,Skiing,Men,3
1928,Switzerland,Ice Hockey,Men,12
1928,United Kingdom,Bobsleigh,Men,1
1928,United States,Bobsleigh,Men,12
1928,United States,Skating,Men,1
1928,United States,Skating,Women,1
1932,Austria,Skating,Men,1
1932,Austria,Skating,Women,1
1932,Canada,Ice Hockey,Men,14
1932,Canada,Skating,Men,6
1932,Finland,Skiing,Men,3
1932,France,Skating,Men,1
1932,France,Skating,Women,1
1932,Germany,Bobsleigh,Men,11
1932,Germany,Ice Hockey,Men,10
1932,Hungary,Skating,Men,1
1932,Hungary,Skating,Women,1
1932,Norway,Skating,Men,2
1932,Norway,Skating,Women,1
1932,Norway,Skiing,Men,7
1932,Sweden,Skating,Men,1
1932,Sweden,Skiing,Men,2
1932,Switzerland,Bobsleigh,Men,8
1932,United States,Bobsleigh,Men,23
1932,United States,Ice Hockey,Men,14
1932,United States,Skating,Men,6
1932,United States,Skating,Women,2
1936,Austria,Skating,Men,4
1936,Austria,Skating,Women,1
1936,Canada,Ice Hockey,Men,13
1936,Finland,Skating,Men,4
1936,Finland,Skiing,Men,5
1936,France,Skiing,Men,1
1936,Germany,Skating,Men,2
1936,Germany,Skating,Women,1
1936,Germany,Skiing,Men,2
1936,Germany,Skiing,Women,2
1936,Hungary,Skating,Men,1
1936,Hungary,Skating,Women,1
1936,Norway,Skating,Men,6
1936,Norway,Skating,Women,1
1936,Norway,Skiing,Men,10
1936,Norway,Skiing,Women,1
1936,Sweden,Skating,Women,1
1936,Sweden,Skiing,Men,9
1936,Switzerland,Bobsleigh,Men,10
1936,United Kingdom,Bobsleigh,Men,4
1936,United Kingdom,Ice Hockey,Men,12
1936,United Kingdom,Skating,Women,1
1936,United States,Bobsleigh,Men,4
1936,United States,Ice Hockey,Men,11
1936,United States,Skating,Men,1
1948,Austria,Skating,Men,1
1948,Austria,Skating,Women,1
1948,Austria,Skiing,Men,1
