Year,Country,MenCount,WomenCount
1924,Austria,2,2
1924,Belgium,5,0
1924,Canada,9,0
1924,Finland,14,1
1924,France,11,1
1924,Norway,17,0
1924,Sweden,9,0
1924,Switzerland,9,0
1924,United Kingdom,24,1
1924,United States,12,1
1928,Austria,3,3
1928,Belgium,1,0
1928,Canada,12,0
1928,Czechoslovakia,1,0
1928,Finland,4,0
1928,France,1,1
1928,Germany,5,0
1928,Norway,14,1
1928,Sweden,16,0
1928,Switzerland,12,0
1928,United Kingdom,1,0
1928,United States,13,1
1932,Austria,1,1
1932,Canada,20,0
1932,Finland,3,0
1932,France,1,1
1932,Germany,21,0
1932,Hungary,1,1
1932,Norway,9,1
1932,Sweden,3,0
1932,Switzerland,8,0
1932,United States,43,2
1936,Austria,4,1
1936,Canada,13,0
1936,Finland,9,0
1936,France,1,0
1936,Germany,4,3
1936,Hungary,1,1
1936,Norway,16,2
1936,Sweden,9,1
1936,Switzerland,10,0
1936,United Kingdom,16,1
1936,United States,16,0
1948,Austria,2,6
1948,Belgium,5,1
1948,Canada,18,2
1948,Czechoslovakia,17,0
1948,Finland,9,0
1948,France,5,0
1948,Hungary,1,1
1948,Italy,1,0
1948,Norway,13,0
1948,Sweden,13,0
1948,Switzerland,26,2
1948,United Kingdom,1,1
1948,United States,14,2
1952,Austria,6,2
1952,Canada,17,0
1952,Finland,9,3
1952,France,0,1
1952,Hungary,1,1
1952,Italy,1,1
1952,Netherlands,3,0
1952,Norway,19,0
1952,Sweden,23,0
1952,Switzerland,6,0
1952,United Kingdom,0,1
1952,United States,26,4
1952,West Germany,7,5
1956,Austria,7,5
1956,Canada,18,2
1956,Finland,9,3
1956,Hungary,1,1
1956,Italy,8,0
1956,Japan,1,0
1956,Norway,4,0
1956,Poland,1,0
1956,Soviet Union,31,6
1956,Sweden,11,4
1956,Switzerland,7,3
1956,United States,24,2
1956,United Team of Germany,1,1
1960,Austria,5,1
1960,Canada,19,2
1960,Czechoslovakia,1,0
1960,Finland,9,4
1960,France,3,0
1960,Italy,0,1
1960,Netherlands,1,1
1960,Norway,9,0
1960,Poland,0,2
1960,Soviet Union,30,12
1960,Sweden,6,3
1960,Switzerland,1,1
1960,United States,20,7
1960,United Team of Germany,4,5
1964,Austria,12,5
1964,Canada,5,2
1964,Czechoslovakia,17,0
1964,Finland,9,6
1964,France,3,4
1964,Italy,10,0
1964,"Korea, North",0,1
1964,Netherlands,1,1
1964,Norway,15,0
1964,Soviet Union,28,18
1964,Sweden,25,3
1964,United Kingdom,2,0
1964,United States,5,3
1964,United Team of Germany,7,3
1968,Austria,13,2
1968,Canada,18,2
1968,Czechoslovakia,20,1
1968,East Germany,5,1
1968,Finland,6,2
1968,France,5,4
1968,Italy,7,1
1968,Netherlands,4,5
1968,Norway,17,5
1968,Romania,2,0
1968,Soviet Union,28,9
1968,Sweden,11,5
1968,Switzerland,8,1
1968,United States,2,5
1968,West Germany,7,3
1972,Austria,1,4
1972,Canada,0,1
1972,Czechoslovakia,19,1
1972,East Germany,16,4
1972,Finland,5,5
1972,France,1,2
1972,Italy,9,0
1972,Japan,3,0
1972,Netherlands,4,5
1972,Norway,14,3
1972,Poland,1,0
1972,Soviet Union,35,10
1972,Spain,1,0
1972,Sweden,4,0
1972,Switzerland,15,2
1972,United States,18,7
1972,West Germany,9,1
1976,Austria,6,1
1976,Canada,1,2
1976,Czechoslovakia,18,0
1976,East Germany,22,10
1976,Finland,10,6
1976,France,0,1
1976,Italy,3,1
1976,Liechtenstein,1,1
1976,Netherlands,5,1
1976,Norway,9,1
